,Date,Visitor,Visitor G,Home,Home G,Visitor Open,Visitor Best,Home Open,Home Best
0,2022-10-07,San Jose Sharks,1,Nashville Predators,4,+145,+170,-177,-200
1,2022-10-07,Buffalo Sabres,1,Pittsburgh Penguins,7,+165,+255,-227,-325
2,2022-10-07,Toronto Maple Leafs,2,Detroit Red Wings,4,+130,+195,-165,-245
3,2022-10-07,Seattle Kraken,3,Edmonton Oilers,5,+140,+175,-189,-215
4,2022-10-07,Winnipeg Jets,5,Calgary Flames,3,+145,+180,-200,-220
5,2022-10-07,Arizona Coyotes,0,Vancouver Canucks,4,+163,+255,-227,-330
0,2022-10-08,Nashville Predators,3,San Jose Sharks,2,-177,-175,+142,+150
1,2022-10-08,Chicago Blackhawks,0,St. Louis Blues,6,+200,+255,-286,-325
2,2022-10-08,Anaheim Ducks,3,Los Angeles Kings,6,+140,+160,-189,-195
3,2022-10-08,Florida Panthers,2,Tampa Bay Lightning,5,-105,+120,-125,-140
4,2022-10-08,Dallas Stars,1,Minnesota Wild,5,+130,+155,-175,-185
5,2022-10-08,Montréal Canadiens,2,Ottawa Senators,3,+140,-135,-189,+115
6,2022-10-08,Detroit Red Wings,1,Toronto Maple Leafs,5,+230,+335,-333,-445
7,2022-10-08,New Jersey Devils,5,Boston Bruins,3,+150,+130,-200,-155
8,2022-10-08,Columbus Blue Jackets,3,Washington Capitals,4,+140,+150,-189,-180
9,2022-10-08,New York Rangers,1,New York Islanders,3,-118,-110,-118,-110
10,2022-10-08,Arizona Coyotes,1,Vegas Golden Knights,5,+200,+255,-286,-325
0,2022-10-11,Tampa Bay Lightning,1,New York Rangers,3,-102,+110,-120,-120
1,2022-10-11,Vegas Golden Knights,4,Los Angeles Kings,3,-102,+100,-120,-115
0,2022-10-12,Boston Bruins,5,Washington Capitals,2,+113,+122,-137,-135
1,2022-10-12,Toronto Maple Leafs,3,Montréal Canadiens,4,-227,-245,+182,+215
2,2022-10-12,Columbus Blue Jackets,1,Carolina Hurricanes,4,+177,+235,-223,-275
3,2022-10-12,Chicago Blackhawks,2,Colorado Avalanche,5,+307,+330,-407,-400
4,2022-10-12,Seattle Kraken,4,Anaheim Ducks,5,+106,-105,-130,-115
5,2022-10-12,Vancouver Canucks,3,Edmonton Oilers,5,+145,+160,-176,-190
0,2022-10-13,Ottawa Senators,1,Buffalo Sabres,4,+105,-120,-133,+105
1,2022-10-13,New Jersey Devils,2,Philadelphia Flyers,5,-111,-125,-111,+105
2,2022-10-13,Arizona Coyotes,2,Pittsburgh Penguins,6,+280,+320,-400,-375
3,2022-10-13,Florida Panthers,3,New York Islanders,1,-111,-145,-111,+122
4,2022-10-13,Washington Capitals,2,Toronto Maple Leafs,3,+130,+180,-167,-205
5,2022-10-13,New York Rangers,7,Minnesota Wild,3,+135,+115,-168,-125
6,2022-10-13,Dallas Stars,4,Nashville Predators,1,+110,+115,-139,-130
7,2022-10-13,Colorado Avalanche,3,Calgary Flames,5,-105,+118,-118,-135
8,2022-10-13,Chicago Blackhawks,0,Vegas Golden Knights,1,+240,+285,-333,-350
9,2022-10-13,Seattle Kraken,4,Los Angeles Kings,1,+130,+150,-167,-178
0,2022-10-14,Montréal Canadiens,0,Detroit Red Wings,3,+123,+140,-153,-165
1,2022-10-14,Tampa Bay Lightning,5,Columbus Blue Jackets,2,-175,-200,+140,+180
2,2022-10-14,New York Rangers,1,Winnipeg Jets,4,-105,+125,-116,-145
3,2022-10-14,Carolina Hurricanes,2,San Jose Sharks,1,-175,-190,+138,+162
0,2022-10-15,Florida Panthers,4,Buffalo Sabres,3,-194,-190,+160,+160
1,2022-10-15,Vancouver Canucks,2,Philadelphia Flyers,3,-104,-165,-115,+145
2,2022-10-15,Ottawa Senators,2,Toronto Maple Leafs,3,+146,+196,-176,-225
3,2022-10-15,Arizona Coyotes,3,Boston Bruins,6,+255,+278,-320,-350
4,2022-10-15,Montréal Canadiens,1,Washington Capitals,3,+220,+240,-275,-300
5,2022-10-15,Detroit Red Wings,5,New Jersey Devils,2,+136,+150,-164,-175
6,2022-10-15,Tampa Bay Lightning,2,Pittsburgh Penguins,6,-108,+148,-111,-175
7,2022-10-15,Anaheim Ducks,1,New York Islanders,7,+150,+143,-186,-165
8,2022-10-15,Nashville Predators,1,Dallas Stars,5,-118,+105,-102,-125
9,2022-10-15,Los Angeles Kings,7,Minnesota Wild,6,+158,+150,-194,-175
10,2022-10-15,Columbus Blue Jackets,2,St. Louis Blues,5,+184,+215,-225,-250
11,2022-10-15,Calgary Flames,4,Edmonton Oilers,3,+118,+115,-143,-130
12,2022-10-15,Chicago Blackhawks,5,San Jose Sharks,2,+140,+118,-175,-135
13,2022-10-15,Vegas Golden Knights,5,Seattle Kraken,2,-143,-130,+118,+110
0,2022-10-17,Los Angeles Kings,5,Detroit Red Wings,4,-105,-135,-115,+125
1,2022-10-17,Arizona Coyotes,4,Toronto Maple Leafs,2,+320,+400,-425,-405
2,2022-10-17,Pittsburgh Penguins,2,Montréal Canadiens,3,-245,-245,+195,+210
3,2022-10-17,Anaheim Ducks,4,New York Rangers,6,+160,+205,-195,-250
4,2022-10-17,Florida Panthers,3,Boston Bruins,5,-130,-135,+110,+122
5,2022-10-17,Vancouver Canucks,4,Washington Capitals,6,+120,+115,-140,-135
6,2022-10-17,Colorado Avalanche,6,Minnesota Wild,3,-110,-115,-110,+105
7,2022-10-17,Winnipeg Jets,1,Dallas Stars,4,+100,+122,-120,-145
8,2022-10-17,Carolina Hurricanes,5,Seattle Kraken,1,-160,-175,+135,+150
0,2022-10-18,Philadelphia Flyers,3,Tampa Bay Lightning,2,+205,+250,-250,-300
1,2022-10-18,Boston Bruins,5,Ottawa Senators,7,+102,+115,-122,-135
2,2022-10-18,Vancouver Canucks,3,Columbus Blue Jackets,4,-103,-110,-120,-105
3,2022-10-18,Anaheim Ducks,2,New Jersey Devils,4,+150,+162,-186,-185
4,2022-10-18,San Jose Sharks,2,New York Islanders,5,+160,+165,-195,-195
5,2022-10-18,Buffalo Sabres,4,Edmonton Oilers,2,+225,+192,-278,-225
6,2022-10-18,Vegas Golden Knights,2,Calgary Flames,3,+128,+140,-157,-160
7,2022-10-18,Los Angeles Kings,4,Nashville Predators,3,+125,+150,-152,-170
0,2022-10-19,Philadelphia Flyers,3,Florida Panthers,4,+265,+285,-335,-350
1,2022-10-19,Winnipeg Jets,4,Colorado Avalanche,3,+190,+205,-240,-225
2,2022-10-19,St. Louis Blues,4,Seattle Kraken,3,-157,-130,+130,+115
0,2022-10-20,Los Angeles Kings,1,Pittsburgh Penguins,6,+150,+165,-182,-195
1,2022-10-20,Anaheim Ducks,1,Boston Bruins,2,+163,+180,-200,-210
2,2022-10-20,Dallas Stars,2,Toronto Maple Leafs,3,+146,+158,-176,-185
3,2022-10-20,San Jose Sharks,3,New York Rangers,2,+200,+240,-250,-292
4,2022-10-20,Arizona Coyotes,2,Montréal Canadiens,6,+135,+150,-165,-178
5,2022-10-20,Washington Capitals,2,Ottawa Senators,5,-130,-110,+108,-110
6,2022-10-20,Nashville Predators,3,Columbus Blue Jackets,5,-114,-130,-106,+110
7,2022-10-20,New Jersey Devils,4,New York Islanders,1,+120,+130,-143,-150
8,2022-10-20,Vancouver Canucks,3,Minnesota Wild,4,+151,+152,-184,-180
9,2022-10-20,Carolina Hurricanes,4,Edmonton Oilers,6,+100,-105,-121,-115
10,2022-10-20,Buffalo Sabres,6,Calgary Flames,3,+225,+240,-286,-292
